NOM_CHF,X_CHF_LIEU,Y_CHF_LIEU
LONS-LE-SAUNIER,895198,6622537
SAINT-ETIENNE,808646,6482549
ROUEN,562355,6928721
AUXERRE,742447,6744261
COLMAR,1024125,6784581
CHARTRES,588211,6817344
TROYES,779954,6800379
BAR-LE-DUC,859261,6854586
ALENCON,484935,6818334
STRASBOURG,1050377,6840891
AGEN,509715,6347775
MONT-DE-MARSAN,418776,6316384
CAEN,454306,6903286
BOBIGNY,658860,6867904
ARRAS,684305,7021265
AURILLAC,655799,6425283
ORLEANS,618116,6756324
CLERMONT-FERRAND,706746,6520012
LAON,745143,6940641
RENNES,351870,6789646
MACON,840971,6580171
FOIX,586251,6208339
VERSAILLES,636413,6856412
NEVERS,711912,6654718
LA ROCHE-SUR-YON,361674,6628329
PAU,426483,6250459
PERIGUEUX,520798,6456451
LYON,842221,6520526
TOURS,525641,6701698
NANTERRE,641614,6865913
EPINAL,956502,6791521
MENDE,739779,6380053
DIGNE-LES-BAINS,959029,6337910
CHARLEVILLE-MEZIERES,823973,6963698
ALBI,631399,6314708
PARIS,651679,6862426
MONTAUBAN,568109,6325628
LA ROCHELLE,379795,6570591
TULLE,603723,6463686
LIMOGES,565065,6527578
TOULON,938610,6229498
BEAUVAIS,633794,6926474
GAP,944381,6389149
PRIVAS,826602,6405268
EVREUX,564892,6881977
SAINT-BRIEUC,274947,6839206
AJACCIO,1176426,6108968
PERPIGNAN,691372,6177563
CRETEIL,659818,6853225
NIMES,809397,6305150
CARCASSONNE,647266,6235391
MELUN,674838,6826676
NICE,1043968,6298502
CHAMBERY,927778,6500522
TARBES,462242,6241478
ANNECY,942581,6538093
BORDEAUX,417217,6421809
MOULINS,725464,6607227
POITIERS,495982,6612457
BESANCON,928499,6686815
GUERET,612688,6564029
CHATEAUROUX,600133,6635213
CHALONS-EN-CHAMPAGNE,799920,6873828
QUIMPER,171326,6789950
GRENOBLE,914070,6457870
METZ,931873,6895769
AVIGNON,845151,6318280
CHAUMONT,859141,6781109
DIJON,854218,6693400
AUCH,505411,6285893
ANGOULEME,478816,6509513
LE MANS,490999,6770788
CAHORS,575912,6373275
TOULOUSE,574179,6279607
MARSEILLE,893448,6247311
RODEZ,666065,6361305
SAINT-LO,401408,6898249
ANGERS,432285,6714080
BASTIA,1228512,6199407
LE PUY-EN-VELAY,769675,6438610
LILLE,704075,7059443
AMIENS,649499,6977248
BOURGES,654145,6664994
MONTPELLIER,772440,6278125
VALENCE,849172,6427718
VESOUL,936924,6729379
BOURG-EN-BRESSE,871777,6569645
NANTES,355547,6689600
EVRY,657958,6836106
PONTOISE,634269,6883804
VANNES,267889,6744074
BELFORT,989942,6733448
LAVAL,419322,6781401
BLOIS,574295,6722749
NANCY,934268,6848334
NIORT,433720,6586400
